kode,species,cluster
2017-03-21_106754,P.glauca,4
2017-03-22_106754,P.glauca,4
2017-03-24_106754,P.glauca,4
2017-03-27_106754,P.glauca,4
2017-03-28_106754,P.glauca,4
2017-03-29_106754,P.glauca,4
2017-03-31_106754,P.glauca,4
2017-04-01_106754,P.glauca,4
2017-04-02_106754,P.glauca,4
2017-04-03_106754,P.glauca,4
2017-04-06_106754,P.glauca,3
2017-04-07_106754,P.glauca,3
2017-11-10_163096,I.oxyrinchus,1
2017-11-11_163096,I.oxyrinchus,1
2017-11-12_163096,I.oxyrinchus,1
2017-11-13_163096,I.oxyrinchus,3
2017-11-15_163096,I.oxyrinchus,3
2017-11-16_163096,I.oxyrinchus,3
2017-11-17_163096,I.oxyrinchus,1
2017-11-18_163096,I.oxyrinchus,1
2017-11-20_163096,I.oxyrinchus,1
2017-11-21_163096,I.oxyrinchus,1
2017-11-22_163096,I.oxyrinchus,4
2017-11-23_163096,I.oxyrinchus,1
2017-11-24_163096,I.oxyrinchus,1
2017-11-26_163096,I.oxyrinchus,1
2017-11-27_163096,I.oxyrinchus,1
2017-11-28_163096,I.oxyrinchus,1
2017-11-29_163096,I.oxyrinchus,1
2017-11-07_163098,I.oxyrinchus,1
2017-11-08_163098,I.oxyrinchus,1
2017-11-09_163098,I.oxyrinchus,4
2017-11-10_163098,I.oxyrinchus,4
2017-11-11_163098,I.oxyrinchus,4
2017-11-12_163098,I.oxyrinchus,4
2017-11-13_163098,I.oxyrinchus,4
2017-11-14_163098,I.oxyrinchus,4
2017-11-15_163098,I.oxyrinchus,4
2017-11-16_163098,I.oxyrinchus,3
2017-11-17_163098,I.oxyrinchus,4
2017-11-18_163098,I.oxyrinchus,4
2017-11-19_163098,I.oxyrinchus,3
2017-11-21_163098,I.oxyrinchus,3
2017-11-22_163098,I.oxyrinchus,5
2017-11-23_163098,I.oxyrinchus,5
2017-11-24_163098,I.oxyrinchus,5
2017-11-25_163098,I.oxyrinchus,5
2017-11-26_163098,I.oxyrinchus,5
2017-11-27_163098,I.oxyrinchus,5
2017-11-28_163098,I.oxyrinchus,4
2017-11-29_163098,I.oxyrinchus,4
2017-11-30_163098,I.oxyrinchus,3
2017-12-01_163096,I.oxyrinchus,1
2017-12-02_163096,I.oxyrinchus,1
2017-12-03_163096,I.oxyrinchus,1
2017-12-04_163096,I.oxyrinchus,1
2017-12-05_163096,I.oxyrinchus,1
2017-12-06_163096,I.oxyrinchus,2
2017-12-07_163096,I.oxyrinchus,1
2017-12-08_163096,I.oxyrinchus,2
2017-12-10_163096,I.oxyrinchus,2
2017-12-12_163096,I.oxyrinchus,2
2017-12-13_163096,I.oxyrinchus,2
2017-12-14_163096,I.oxyrinchus,2
2017-12-15_163096,I.oxyrinchus,1
2017-12-17_163096,I.oxyrinchus,4
2017-12-18_163096,I.oxyrinchus,4
2017-12-20_163096,I.oxyrinchus,4
2017-12-22_163096,I.oxyrinchus,4
2017-12-24_163096,I.oxyrinchus,4
2017-12-25_163096,I.oxyrinchus,4
2017-12-26_163096,I.oxyrinchus,4
2017-12-27_163096,I.oxyrinchus,4
2017-12-29_163096,I.oxyrinchus,4
2017-12-30_163096,I.oxyrinchus,4
2017-12-31_163096,I.oxyrinchus,2
2017-12-01_163098,I.oxyrinchus,3
2017-12-02_163098,I.oxyrinchus,3
2017-12-03_163098,I.oxyrinchus,3
2017-12-04_163098,I.oxyrinchus,3
2017-12-06_163098,I.oxyrinchus,3
